Species,Transmitter,Month,n_COAs,level,method,area_km2
Bass,A69-1601-51639,2018-05-01T00:00:00Z,88,0.95,KDE95,0.0911698198319194
Bass,A69-1601-51639,2018-08-01T00:00:00Z,212,0.5,KDE50,0.009058312627518782
Bass,A69-1601-51639,2018-08-01T00:00:00Z,212,0.95,KDE95,0.04306357286812691
Bass,A69-1601-51639,2018-09-01T00:00:00Z,104,0.5,KDE50,0.0035008824150289876
Bass,A69-1601-51639,2018-09-01T00:00:00Z,104,0.95,KDE95,0.062389573803122385
Bass,A69-1601-51639,2018-10-01T00:00:00Z,119,0.5,KDE50,0.01883729770558863
Bass,A69-1601-51639,2018-10-01T00:00:00Z,119,0.95,KDE95,0.04712584677460401
Bass,A69-1601-51639,2018-11-01T00:00:00Z,240,0.5,KDE50,0.02194087927765481
Bass,A69-1601-51639,2018-11-01T00:00:00Z,240,0.95,KDE95,0.046614741547524
Bass,A69-1601-51639,2018-12-01T00:00:00Z,142,0.5,KDE50,0.02283421438875736
Bass,A69-1601-51639,2018-12-01T00:00:00Z,142,0.95,KDE95,0.06498565470256996
Bass,A69-1601-51641,2017-03-01T00:00:00Z,35,0.5,KDE50,0.025682881494794505
Bass,A69-1601-51641,2017-03-01T00:00:00Z,35,0.95,KDE95,0.13726320424224614
Bass,A69-1601-51641,2017-04-01T00:00:00Z,55,0.5,KDE50,0.18719568252238236
Bass,A69-1601-51641,2017-04-01T00:00:00Z,55,0.95,KDE95,1.2662137422952717
Bass,A69-1601-51641,2017-10-01T00:00:00Z,248,0.5,KDE50,0.07976799205596453
Bass,A69-1601-51641,2017-10-01T00:00:00Z,248,0.95,KDE95,0.3428502217285363
Bass,A69-1601-51641,2017-11-01T00:00:00Z,306,0.5,KDE50,0.1621086119676216
Bass,A69-1601-51641,2017-11-01T00:00:00Z,306,0.95,KDE95,0.601845097571979
Bass,A69-1601-51641,2017-12-01T00:00:00Z,539,0.5,KDE50,0.2101469990545944
Bass,A69-1601-51641,2017-12-01T00:00:00Z,539,0.95,KDE95,0.6173207813161055
Bass,A69-1601-51641,2018-01-01T00:00:00Z,457,0.5,KDE50,0.2411089759375127
Bass,A69-1601-51641,2018-01-01T00:00:00Z,457,0.95,KDE95,0.6230093540542407
Bass,A69-1601-51641,2018-02-01T00:00:00Z,392,0.5,KDE50,0.13109405327383242
Bass,A69-1601-51641,2018-02-01T00:00:00Z,392,0.95,KDE95,0.6060319781332896
Bass,A69-1601-51641,2018-03-01T00:00:00Z,201,0.5,KDE50,0.11462928662838473
Bass,A69-1601-51641,2018-03-01T00:00:00Z,201,0.95,KDE95,0.595575063949826
Bass,A69-1601-51643,2017-01-01T00:00:00Z,32,0.5,KDE50,0.05104457272572257
Bass,A69-1601-51643,2017-01-01T00:00:00Z,32,0.95,KDE95,0.16501588735191464
Bass,A69-1601-51643,2018-02-01T00:00:00Z,107,0.5,KDE50,0.07518732602059963
Bass,A69-1601-51643,2018-02-01T00:00:00Z,107,0.95,KDE95,0.210802911690105
Bass,A69-1601-51643,2018-03-01T00:00:00Z,138,0.5,KDE50,0.037618077991888856
Bass,A69-1601-51643,2018-03-01T00:00:00Z,138,0.95,KDE95,0.10287351364925522
Bass,A69-1601-51643,2018-04-01T00:00:00Z,142,0.5,KDE50,0.021756264152381338
Bass,A69-1601-51643,2018-04-01T00:00:00Z,142,0.95,KDE95,0.08296575214694778
Bass,A69-1601-51643,2018-05-01T00:00:00Z,157,0.5,KDE50,0.0232885711346991
Bass,A69-1601-51643,2018-05-01T00:00:00Z,157,0.95,KDE95,0.0926076303275287
Bass,A69-1601-51643,2018-06-01T00:00:00Z,100,0.5,KDE50,0.020902060035440838
Bass,A69-1601-51643,2018-06-01T00:00:00Z,100,0.95,KDE95,0.07894910300190235
Bass,A69-1601-51646,2017-02-01T00:00:00Z,148,0.5,KDE50,0.02389657640073076
Bass,A69-1601-51646,2017-02-01T00:00:00Z,148,0.95,KDE95,0.058538825807313434
Bass,A69-1601-51647,2017-05-01T00:00:00Z,34,0.5,KDE50,0.01993261718104809
Bass,A69-1601-51647,2017-05-01T00:00:00Z,34,0.95,KDE95,0.086801698406274
Bass,A69-1601-51647,2018-03-01T00:00:00Z,51,0.5,KDE50,0.06117058772015263
Bass,A69-1601-51647,2018-03-01T00:00:00Z,51,0.95,KDE95,0.1293180167989901
Bass,A69-1601-51647,2018-04-01T00:00:00Z,103,0.5,KDE50,0.038653467871176427
Bass,A69-1601-51647,2018-04-01T00:00:00Z,103,0.95,KDE95,0.13301952423633276
Bass,A69-1601-51647,2018-05-01T00:00:00Z,91,0.5,KDE50,0.03973591428865213
Bass,A69-1601-51647,2018-05-01T00:00:00Z,91,0.95,KDE95,0.13432817160221258
Bass,A69-1601-51647,2019-01-01T00:00:00Z,68,0.5,KDE50,0.02446623559338064
Bass,A69-1601-51647,2019-01-01T00:00:00Z,68,0.95,KDE95,0.12830650749919853
Bass,A69-1601-51647,2019-02-01T00:00:00Z,170,0.5,KDE50,0.020413953954004655
Bass,A69-1601-51647,2019-02-01T00:00:00Z,170,0.95,KDE95,0.12021911054596937
Bass,A69-1601-51647,2019-03-01T00:00:00Z,133,0.5,KDE50,0.04528257419715338
Bass,A69-1601-51647,2019-03-01T00:00:00Z,133,0.95,KDE95,0.15649225590480664
Bass,A69-1601-51647,2019-05-01T00:00:00Z,105,0.5,KDE50,0.031149000208642568
Bass,A69-1601-51647,2019-05-01T00:00:00Z,105,0.95,KDE95,0.12271407149691303
Bass,A69-1601-51650,2016-12-01T00:00:00Z,147,0.5,KDE50,0.015010431960168382
Bass,A69-1601-51650,2016-12-01T00:00:00Z,147,0.95,KDE95,0.054878125048991
Bass,A69-1601-51650,2017-01-01T00:00:00Z,227,0.5,KDE50,0.015856766092894135
Bass,A69-1601-51650,2017-01-01T00:00:00Z,227,0.95,KDE95,0.0652105479964306
Bass,A69-1601-51650,2017-02-01T00:00:00Z,45,0.5,KDE50,0.06837340839316172
Bass,A69-1601-51650,2017-02-01T00:00:00Z,45,0.95,KDE95,0.2129699511282383
Bass,A69-1601-51650,2017-05-01T00:00:00Z,41,0.5,KDE50,0.035190120726092004
Bass,A69-1601-51650,2017-05-01T00:00:00Z,41,0.95,KDE95,0.07593002922226327
Bass,A69-1601-51651,2017-02-01T00:00:00Z,45,0.5,KDE50,0.023220838999697707
Bass,A69-1601-51651,2017-02-01T00:00:00Z,45,0.95,KDE95,0.03216531693843972
Bass,A69-1601-51651,2017-03-01T00:00:00Z,368,0.5,KDE50,0.029789388718889875
Bass,A69-1601-51651,2017-03-01T00:00:00Z,368,0.95,KDE95,0.07282931739763783
Bass,A69-1601-51651,2017-04-01T00:00:00Z,391,0.5,KDE50,0.023928158850817942
Bass,A69-1601-51651,2017-04-01T00:00:00Z,391,0.95,KDE95,0.04043854191657888
Bass,A69-1601-51651,2018-03-01T00:00:00Z,36,0.5,KDE50,0.04259759995912807
Bass,A69-1601-51651,2018-03-01T00:00:00Z,36,0.95,KDE95,0.12011456578907836
Bass,A69-1601-51651,2018-04-01T00:00:00Z,271,0.5,KDE50,0.026919144571473357
